tier,radius_arcsec,k_gate,median_shift_over_true,max_event_shift_over_true,ok,ratios_by_event
A,1.0,20000,0.0,0.0012779240122090996,True,"{""GW200219_094415"": 0.0012779240122090996, ""GW200220_061928"": 0.0, ""GW200308_173609"": 0.0}"
A,2.0,20000,0.0015673283836317759,0.002327128389841095,True,"{""GW200219_094415"": 0.002327128389841095, ""GW200220_061928"": 0.0015673283836317759, ""GW200308_173609"": 0.0010303260949489732}"
A,3.0,20000,0.002819057875062873,0.0036514079455963683,True,"{""GW200219_094415"": 0.002819057875062873, ""GW200220_061928"": 0.0036514079455963683, ""GW200308_173609"": 0.0017959795864667374}"
A,5.0,20000,0.008405575321555595,0.012711404211984844,True,"{""GW200219_094415"": 0.006090497796483311, ""GW200220_061928"": 0.012711404211984844, ""GW200308_173609"": 0.008405575321555595}"
A,10.0,20000,0.050608019186693255,0.0534203033029773,True,"{""GW200219_094415"": 0.01849568999939202, ""GW200220_061928"": 0.050608019186693255, ""GW200308_173609"": 0.0534203033029773}"
A,15.0,20000,0.10472028855298861,0.12451089642865307,False,"{""GW200219_094415"": 0.044878256346195904, ""GW200220_061928"": 0.10472028855298861, ""GW200308_173609"": 0.12451089642865307}"
A,20.0,20000,0.17829768569149762,0.20419267718077466,False,"{""GW200219_094415"": 0.07636858422415672, ""GW200220_061928"": 0.17829768569149762, ""GW200308_173609"": 0.20419267718077466}"
A,30.0,20000,0.3264045226527839,0.3719435848318151,False,"{""GW200219_094415"": 0.16100156066746105, ""GW200220_061928"": 0.3264045226527839, ""GW200308_173609"": 0.3719435848318151}"
A,45.0,20000,0.5487451333348341,0.5954526340756303,False,"{""GW200219_094415"": 0.27636611968559455, ""GW200220_061928"": 0.5487451333348341, ""GW200308_173609"": 0.5954526340756303}"
A,60.0,20000,0.7321918598107895,0.760419812803021,False,"{""GW200219_094415"": 0.4078717369425389, ""GW200220_061928"": 0.7321918598107895, ""GW200308_173609"": 0.760419812803021}"
B,1.0,20000,0.0,0.0012136989269920966,True,"{""GW200219_094415"": 0.0012136989269920966, ""GW200220_061928"": 0.0, ""GW200308_173609"": 0.0}"
