tier,radius_arcsec,k,delta_lpd_total,delta_lpd_data,baseline_delta_lpd_total,baseline_delta_lpd_data
A,10.0,20000,3.6436703758944304,2.646569902362131,3.634345260331145,2.6358894332519185
B,10.0,20000,3.6438585185156853,2.6467246348257163,3.634345260331145,2.6358894332519185
