event,tier,radius_arcsec,k,k_used,weight_total,weight_topk,cum_weight_frac_at_k,frac_weight_true,frac_weight_shift_ra,frac_weight_shift_dec,frac_weight_rand_rot
GW200308_173609,A,1.0,200,200,0.29777197748631556,0.017171999996227667,0.05766828746340587,0.0007789463309448886,0.0,0.0,0.0
GW200308_173609,A,1.0,1000,1000,0.29777197748631556,0.0564464900249044,0.1895628007088023,0.004922733453708684,0.0,0.0,0.0
GW200308_173609,A,1.0,5000,5000,0.29777197748631556,0.1632609487257952,0.5482750596748078,0.02163166478348113,0.0,0.0,0.0
GW200308_173609,A,1.0,20000,20000,0.29777197748631556,0.2977719774863152,0.9999999999999987,0.05225962791061889,0.0,0.0,0.0
GW200308_173609,A,2.0,200,200,0.29777197748631556,0.017171999996227667,0.05766828746340587,0.0013435450080385414,0.0,0.0,0.0
GW200308_173609,A,2.0,1000,1000,0.29777197748631556,0.0564464900249044,0.1895628007088023,0.005790793354032202,0.0,0.0,0.0
GW200308_173609,A,2.0,5000,5000,0.29777197748631556,0.1632609487257952,0.5482750596748078,0.02413617669822783,0.0,0.0,0.0001330015101870203
GW200308_173609,A,2.0,20000,20000,0.29777197748631556,0.2977719774863152,0.9999999999999987,0.056921841564225244,5.662907359188672e-05,6.0667043880457983e-05,0.000151699508629395
GW200308_173609,A,3.0,200,200,0.29777197748631556,0.017171999996227667,0.05766828746340587,0.0013435450080385414,0.0,0.0,0.0
GW200308_173609,A,3.0,1000,1000,0.29777197748631556,0.0564464900249044,0.1895628007088023,0.005790793354032202,0.0,0.0,0.0
GW200308_173609,A,3.0,5000,5000,0.29777197748631556,0.1632609487257952,0.5482750596748078,0.024205553062359476,0.0,0.0,0.0001330015101870203
GW200308_173609,A,3.0,20000,20000,0.29777197748631556,0.2977719774863152,0.9999999999999987,0.0573367180807453,5.662907359188672e-05,0.00014932207686414698,0.0002068477152175371
GW200308_173609,A,5.0,200,200,0.29777197748631556,0.017171999996227667,0.05766828746340587,0.0016092745937054934,0.0,0.0,0.00023407579870038077
GW200308_173609,A,5.0,1000,1000,0.29777197748631556,0.0564464900249044,0.1895628007088023,0.006056522939699153,0.0,0.0,0.0005431517819610907
GW200308_173609,A,5.0,5000,5000,0.29777197748631556,0.1632609487257952,0.5482750596748078,0.02487707651219648,0.00023056750329913933,7.501547979265553e-05,0.0010648053636148813
GW200308_173609,A,5.0,20000,20000,0.29777197748631556,0.2977719774863152,0.9999999999999987,0.05844307707061467,0.00043811173392093204,0.0005443836387601286,0.0014451618762459247
GW200308_173609,A,10.0,200,200,0.29777197748631556,0.017171999996227667,0.05766828746340587,0.0016092745937054934,0.0,0.0,0.00046529952419133657
GW200308_173609,A,10.0,1000,1000,0.29777197748631556,0.0564464900249044,0.1895628007088023,0.0068667061043166675,0.00030931554051573336,0.0,0.0009562395149315826
GW200308_173609,A,10.0,5000,5000,0.29777197748631556,0.1632609487257952,0.5482750596748078,0.02665493197275994,0.0012975401945776001,0.0009769084466334569,0.0026378430606017068
GW200308_173609,A,10.0,20000,20000,0.29777197748631556,0.2977719774863152,0.9999999999999987,0.061397504157408696,0.0032274689632286148,0.00333227762504055,0.004222397393162257
GW200308_173609,A,15.0,200,200,0.29777197748631556,0.017171999996227667,0.05766828746340587,0.0019058946671839678,0.0,0.0003771054726437186,0.00046529952419133657
GW200308_173609,A,15.0,1000,1000,0.29777197748631556,0.0564464900249044,0.1895628007088023,0.007614846538970858,0.0006294635506758993,0.0013150104171718684,0.0018927822648043757
GW200308_173609,A,15.0,5000,5000,0.29777197748631556,0.1632609487257952,0.5482750596748078,0.029176960621482582,0.0034180678871764967,0.003936589554543237,0.005201511094935093
GW200308_173609,A,15.0,20000,20000,0.29777197748631556,0.2977719774863152,0.9999999999999987,0.06580913907490908,0.008026450873830214,0.008361458924999449,0.008838327075038949
GW200308_173609,A,20.0,200,200,0.29777197748631556,0.017171999996227667,0.05766828746340587,0.0019058946671839678,0.0,0.0003771054726437186,0.0009710760615599197
