rep,truth_draw,truth_fmiss_rep,f_post_mean_mu,f_post_mean_gr,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,79,0.9,0.12379952951029222,0.12380261177358765,3.6789710388212598,2.5989400489896752,1.0800309898315845
1,56,0.9,0.12379938165054803,0.12380245456378233,3.345270575951929,2.3079814088126227,1.0372891671393063
2,77,0.9,0.1237997058690935,0.12380294698521827,3.1901373938461006,2.2011619049434614,0.9889754889026392
3,132,0.9,0.12379799466466543,0.12380085756434515,3.1428501271128653,2.1893794978410597,0.9534706292718056
4,129,0.9,0.12379879244609787,0.1238017871782115,3.3692296562304023,2.3546047315035707,1.0146249247268315
5,20,0.9,0.123800507222419,0.12380378781308168,3.5424116448631366,2.469201280612083,1.0732103642510538
6,218,0.9,0.12380115915702197,0.12380452986310303,3.9067453085961006,2.7528546551964723,1.1538906533996283
7,147,0.9,0.12379985766676935,0.12380311167793906,3.306738591286944,2.3179942525947013,0.9887443386922428
8,194,0.9,0.1237998706195632,0.12380312983406698,3.8502760765268818,2.7445722348208506,1.1057038417060312
9,22,0.9,0.12380026171220936,0.12380351108032678,3.414677781375076,2.3719868769498476,1.0426909044252284
10,157,0.9,0.12380056703309111,0.12380379689546753,3.4391184891214834,2.3712345885525963,1.0678839005688872
11,116,0.9,0.12380030058796054,0.12380368241495805,3.516215632721412,2.4668167934331393,1.0493988392882727
12,77,0.9,0.12379882562613133,0.12380179274873324,3.378846133074262,2.3486209656429082,1.0302251674313538
13,170,0.9,0.1237999082566996,0.12380315116972843,3.532372868130892,2.4811781021120964,1.0511947660187957
14,99,0.9,0.12379944485926422,0.1238025483202691,3.5642099752505487,2.4990300290457412,1.0651799462048075
15,32,0.9,0.12380118667233513,0.12380447917665953,3.8782080114650057,2.7461224824930355,1.1320855289719702
16,193,0.9,0.12379977150653447,0.12380290071048633,3.4174164364504804,2.376412215186747,1.0410042212637336
17,237,0.9,0.12379838807168767,0.12380129286060117,3.69429903708226,2.646748302830673,1.0475507342515868
18,230,0.9,0.1238008177763179,0.12380412969817696,3.294930342603948,2.262964801665589,1.0319655409383586
19,238,0.9,0.12379859508665622,0.12380158090611079,3.3959864057721916,2.408240380054849,0.9877460257173425
20,7,0.9,0.12379991910432235,0.12380314576277737,3.3661345986716356,2.351572757682419,1.0145618409892165
21,121,0.9,0.123800780080727,0.1238042253265529,4.018886905634588,2.8943898391019047,1.1244970665326832
22,64,0.9,0.12380082381404493,0.12380422042272562,3.63982968810933,2.561945327045777,1.0778843610635533
23,182,0.9,0.12379977669634835,0.12380297875326292,3.4012155973234144,2.3851516816201865,1.0160639157032278
24,211,0.9,0.1238005361683044,0.12380377301543238,3.404906215085475,2.3633585698805746,1.0415476452049006
25,36,0.9,0.12379987525284772,0.12380310195871036,3.588649583246422,2.537460782776776,1.051188800469646
26,81,0.9,0.12380016246132548,0.12380342126514021,3.446180389952815,2.387129521706612,1.059050868246203
27,44,0.9,0.123800423499147,0.1238037550634584,3.4990983709044485,2.455707422483556,1.0433909484208925
28,1,0.9,0.12379861170014142,0.1238016811475382,3.251986936290905,2.278058925677584,0.9739280106133208
29,196,0.9,0.1237989567869956,0.12380194120347254,3.4439518380978598,2.4060316082475595,1.0379202298503003
30,79,0.9,0.12379952739426471,0.12380274762563118,3.323767831739758,2.327843687113443,0.995924144626315
31,98,0.9,0.12380010706626422,0.12380341215723967,3.408330743637805,2.388041203164306,1.0202895404734988
32,132,0.9,0.12379955673118523,0.12380280182650392,3.4497765309193937,2.4410991395792507,1.008677391340143
33,210,0.9,0.1238007885868896,0.1238041014663254,3.604546200195898,2.5347666839752776,1.0697795162206205
34,66,0.9,0.12379921940535688,0.12380232756869028,3.287622622330332,2.286528815954,1.001093806376332
35,241,0.9,0.12379978365006186,0.12380287913056798,3.293232925604798,2.2556865780010185,1.0375463476037794
36,47,0.9,0.12379986365570983,0.12380306966299155,3.653086938543197,2.572887504329458,1.080199434213739
37,53,0.9,0.12380003462975994,0.12380327355126658,3.411334072247712,2.36092552969302,1.0504085425546918
38,71,0.9,0.12379919934547133,0.12380222444374872,3.864186150074545,2.7447597563141812,1.1194263937603637
39,169,0.9,0.12380081799485443,0.12380426811329281,3.7057811720512746,2.6237406619735566,1.082040510077718
40,7,0.9,0.12379951652783096,0.12380266659817363,3.2818655210465977,2.2701856950551758,1.011679825991422
41,174,0.9,0.12379963126864697,0.12380268260188013,3.5965164715858577,2.515307541550328,1.0812089300355296
42,115,0.9,0.12379885531362153,0.12380196957056795,3.2808085578627697,2.2978765602537976,0.9829319976089721
43,211,0.9,0.1238003005168758,0.12380368665654624,3.535550462838728,2.4851556343754737,1.0503948284632543
44,43,0.9,0.12379950527894498,0.12380268029686475,3.439037999439506,2.392349499502643,1.046688499936863
45,28,0.9,0.1238005206148293,0.12380375479407618,3.7084465670705526,2.6060407769153926,1.10240579015516
46,187,0.9,0.1237995548610061,0.12380270095297363,3.495066886579764,2.464832274398532,1.030234612181232
47,6,0.9,0.12379956612532231,0.12380278210112619,3.1524227233488205,2.18254320466599,0.9698795186828306
48,101,0.9,0.12379935348945209,0.12380251191186059,3.285408104591795,2.2840335695847216,1.0013745350070735
49,74,0.9,0.12379930982408134,0.12380235709488341,3.4562623699542314,2.4027817844312835,1.0534805855229479
50,8,0.9,0.12379957224188887,0.12380273393626101,3.29670773212149,2.2701680635305763,1.0265396685909138
51,158,0.9,0.12379871180552947,0.12380167815053165,3.1339224630209515,2.1491165497925238,0.9848059132284277
52,164,0.9,0.12379860518627517,0.12380151209220683,3.2417023762967574,2.2302307871613323,1.0114715891354251
53,243,0.9,0.12379881321446735,0.12380186981901203,3.259656017957866,2.275827022308107,0.983828995649759
54,150,0.9,0.12380026321217921,0.12380346519076327,3.569691864829906,2.4846547081386348,1.0850371566912713
55,244,0.9,0.12380005796440431,0.12380338702399586,3.2567950349042576,2.283012551584477,0.9737824833197806
56,101,0.9,0.1237991729149957,0.12380232338493469,3.30205480426946,2.306411562169842,0.995643242099618
57,69,0.9,0.12379934216776495,0.12380242916683487,3.235359457575612,2.234930078748107,1.000429378827505
58,138,0.9,0.12379903696298725,0.12380211277539041,3.51656776995992,2.4934743905835433,1.0230933793763768
59,10,0.9,0.1237996808856009,0.12380292913964383,3.488652481120255,2.448604415667006,1.0400480654532487
60,20,0.9,0.12380132135387614,0.12380465642201166,3.8496937482116778,2.696984482801014,1.1527092654106639
61,7,0.9,0.12379832753825211,0.12380132132922886,3.2930259337955476,2.303500967370269,0.9895249664252788
62,222,0.9,0.12379864141957966,0.1238018017587938,3.2110114357266184,2.2804125818976217,0.9305988538289967
63,113,0.9,0.12379930902539031,0.12380242657148319,3.500977907384936,2.4633907061756872,1.0375872012092486
64,70,0.9,0.12380083575062888,0.1238042715863219,3.6993971534977845,2.612230285286387,1.0871668682113977
65,161,0.9,0.1237990301416248,0.12380207372857531,3.3358622268411864,2.3174905660470984,1.018371660794088
66,214,0.9,0.12379903978143011,0.12380212674107086,3.261596733607007,2.264205376651006,0.9973913569560011
67,43,0.9,0.12380019263182698,0.12380345578640567,3.4746334600690147,2.4334273573886094,1.0412061026804054
68,124,0.9,0.1237996052133054,0.12380263052085672,3.333735166875897,2.2775847371386533,1.0561504297372437
69,14,0.9,0.12379976764226983,0.12380302679976746,3.7075520525276033,2.630351638089394,1.0772004144382095
70,249,0.9,0.12379860944659987,0.1238015622940694,3.3442707463384522,2.3576899549089774,0.9865807914294749
