rep,truth_draw,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,214,0.007327425271476784,-0.8534680415786795,0.8607954668501563
1,66,1.5620518577843896,0.45890230132833665,1.103149556456053
2,27,0.2858217774315399,-0.6100136567483219,0.8958354341798618
3,76,0.932708885053966,-0.06220883998719273,0.9949177250411587
4,105,0.9045247774355509,-0.0594089083096776,0.9639336857452285
5,208,0.5417578027602943,-0.38906192643514714,0.9308197291954414
6,115,0.1584358304239757,-0.716127176153492,0.8745630065774677
7,23,0.7914010692289466,-0.1447406681206047,0.9361417373495513
8,85,0.5607852574459002,-0.3571223186545893,0.9179075761004896
9,153,0.6867797921164573,-0.2883640058634285,0.9751437979798858
10,208,0.49199984170534705,-0.42716237731409024,0.9191622190194373
11,186,0.46752959699451324,-0.47545685830897355,0.9429864553034868
12,254,0.3546809847112975,-0.5377619097521631,0.8924428944634606
13,48,0.5800818339443374,-0.3451925985617521,0.9252744325060895
14,225,0.8491858524476292,-0.13644127243689752,0.9856271248845268
15,14,0.6085280585153079,-0.34786734181024315,0.956395400325551
16,142,0.3556317685830592,-0.5431244019665371,0.8987561705495963
17,70,0.3544388756180723,-0.542733536946443,0.8971724125645153
18,51,0.7057708046270044,-0.24195408125294193,0.9477248858799463
19,168,0.19309616209533687,-0.6670775985189294,0.8601737606142663
20,78,0.2972882141928892,-0.5845665764094718,0.881854790602361
21,143,1.15383719812624,0.13198007044825033,1.0218571276779898
22,66,1.0324541165739873,0.010427855492494587,1.0220262610814927
23,38,0.8374078130859495,-0.11784457556110794,0.9552523886470574
24,191,0.30734763477599714,-0.593423218281842,0.9007708530578391
25,110,0.442143264226214,-0.4396506661203716,0.8817939303465856
26,173,0.36351062098554365,-0.5549129266553763,0.9184235476409199
27,171,0.1506300695170637,-0.7095112262584422,0.8601412957755059
28,241,0.3757911992965468,-0.5245685717969195,0.9003597710934663
29,108,0.9006749917804129,-0.08303880169768263,0.9837137934780955
30,56,1.1482334648524564,0.14450352525346943,1.003729939598987
31,162,0.1257589433503199,-0.7355568388532845,0.8613157822036044
32,239,0.497962084993091,-0.4320021508959826,0.9299642358890736
33,247,0.9304942751880532,-0.06087364458633715,0.9913679197743903
34,222,1.2447119069032304,0.21036389563201396,1.0343480112712164
35,174,1.9207081439423845,0.7457538394849905,1.174954304457394
36,97,0.07650721659112492,-0.7895246194833021,0.866031836074427
37,100,0.29431352403286937,-0.617600494134237,0.9119140181671064
38,10,0.9321517783099154,-0.02737148537035239,0.9595232636802677
39,47,1.2824248109592062,0.23312638508468808,1.0492984258745182
40,85,0.28428839330458544,-0.622119741254167,0.9064081345587525
41,88,0.2990830282200392,-0.6137133402911701,0.9127963685112093
42,148,0.8908996308171631,-0.0958889334325761,0.9867885642497392
43,130,0.4537528703464666,-0.4495642147042389,0.9033170850507055
44,177,0.3588805173616372,-0.5397827741883674,0.8986632915500046
45,228,0.38139983271030786,-0.5077405860563999,0.8891404187667078
46,224,0.50268459748618,-0.42214085518195077,0.9248254526681308
47,198,0.5811849775753437,-0.36079753290523797,0.9419825104805817
48,250,0.5358826414170643,-0.3853446054026648,0.9212272468197291
49,81,0.3973256955720039,-0.4922117382326405,0.8895374338046445
50,232,0.8506145329921182,-0.10945068833942173,0.9600652213315399
51,236,0.6163864459734221,-0.3348325546480595,0.9512190006214816
52,57,0.3646209952354944,-0.5318840065767887,0.8965050018122831
53,120,0.6468307487840406,-0.296005178919998,0.9428359277040386
54,145,0.1340175644370838,-0.7568403446754388,0.8908579091125226
55,177,0.4143304247687496,-0.5247156772866077,0.9390461020553573
56,179,0.3861189994002636,-0.531619402271204,0.9177384016714676
57,27,0.6196622947732706,-0.311962917271444,0.9316252120447146
58,122,1.467932779050713,0.4126579426167041,1.055274836434009
59,26,1.0430814495340393,0.015734508057605012,1.0273469414764342
60,245,0.527450671491529,-0.41301753926174456,0.9404682107532736
61,51,1.038896663313114,0.0491972672717651,0.9896993960413489
62,114,0.3791374758112056,-0.5311018691553926,0.9102393449665982
63,226,0.6720591391620694,-0.27106412544226544,0.9431232646043348
64,133,0.7264562364437666,-0.23048980717378242,0.956946043617549
65,174,1.27392272005088,0.21823642857660275,1.0556862914742773
66,127,0.49016623203247534,-0.452077531739036,0.9422437637715113
67,217,0.7476576539296715,-0.23829891611998733,0.9859565700496589
68,152,0.6938696011470782,-0.27527854636066706,0.9691481475077453
69,164,1.083369609574241,0.07205584788786723,1.0113137616863739
70,116,0.5722971589144024,-0.3711850914473729,0.9434822503617752
71,104,0.3249570369689465,-0.5686025894866589,0.8935596264556054
72,151,0.4002901329405404,-0.5303495175471653,0.9306396504877057
73,132,1.0521398816925789,0.003264012134948757,1.0488758695576301
74,200,0.319416507767432,-0.570805994421292,0.890222502188724
75,151,0.8458829471116402,-0.12973784595943982,0.9756207930710801
76,120,0.5111857167107416,-0.3883577341350417,0.8995434508457834
77,220,2.2376552290957434,0.9991593624683901,1.2384958666273533
78,54,1.6805914013065717,0.5682548354285188,1.1123365658780529
79,112,0.7969442057727214,-0.1647380355657191,0.9616822413384405
80,124,0.6412356313777359,-0.3124101633085985,0.9536457946863344
81,228,0.44834365544691934,-0.4676165946836477,0.915960250130567
82,112,1.0402460357490178,0.03460947510583878,1.005636560643179
83,157,0.28899047675882983,-0.608789335985989,0.8977798127448189
84,19,0.1597544495925156,-0.7215228252167378,0.8812772748092534
85,212,0.7916981931395846,-0.15957222482971645,0.951270417969301
86,113,1.365008183105786,0.31486289143614954,1.0501452916696365
