rep,truth_draw,truth_fmiss_rep,f_post_mean_mu,f_post_mean_gr,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,16,,0.12379829867785969,0.12380133699642487,3.4052273775265007,2.4219168051162967,0.983310572410204
1,175,,0.12379849340132637,0.12380145737410428,3.243999947995178,2.260046378017165,0.9839535699780129
2,209,,0.12379833642385732,0.12380141263031096,3.2867797516079804,2.330545474864607,0.9562342767433734
3,119,,0.12379843340943872,0.12380133742569784,3.2965886116783736,2.3024441555992894,0.9941444560790842
4,224,,0.12379863937186114,0.1238016759563105,3.1658943166166296,2.2088785381210982,0.9570157784955313
5,215,,0.12379838446040786,0.12380131760987934,3.4975433800044584,2.470163897749444,1.0273794822550144
6,239,,0.12379890727521439,0.12380193290715646,3.2995988063086656,2.3047273749393185,0.9948714313693472
7,87,,0.12379921851996109,0.12380236408000386,3.2779800002767843,2.289103104808902,0.9888768954678824
8,68,,0.12379767675722243,0.1238005688609306,3.414815384955716,2.422348433090008,0.9924669518657083
9,100,,0.12379924040810841,0.12380227245355573,3.5022877448287204,2.4594351390048814,1.042852605823839
10,160,,0.12379761725753607,0.1238004917764298,3.375328065090798,2.4005294650560245,0.9747986000347737
11,40,,0.12379832670300515,0.12380130158874218,3.1890024536081114,2.2171406621091023,0.9718617914990091
12,122,,0.12379921028695642,0.12380221563015192,3.4553639856755467,2.4106445816476025,1.0447194040279442
13,109,,0.12379709815307659,0.12380001042222336,3.3159653114868775,2.4070349486189,0.9089303628679772
14,87,,0.12379850064829004,0.12380162488029584,3.3724754264831063,2.408344517400792,0.9641309090823142
15,185,,0.12379918915663277,0.12380230935867675,3.438383716955343,2.429109486531587,1.009274230423756
16,205,,0.1237976970457958,0.12380061145572,3.200292598951819,2.2687351399665943,0.9315574589852247
17,74,,0.12379958622145196,0.1238028266522471,3.2550259472897096,2.2803343724576166,0.974691574832093
18,32,,0.123799813154551,0.12380305313150221,3.842663980330883,2.7452193098285704,1.0974446705023126
19,86,,0.12379783954959367,0.12380087205950513,3.131742227702887,2.219455517404697,0.91228671029819
20,53,,0.12379802516510138,0.1238009957815899,3.591765637477579,2.5728707175563272,1.0188949199212516
21,48,,0.1238002614602734,0.12380352585925405,3.526848739088109,2.467323325821809,1.0595254132663001
