rep,truth_draw,truth_fmiss_rep,f_post_mean_mu,f_post_mean_gr,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,217,,0.12379802029970242,0.12380100370887034,3.350569232584405,2.366946157902447,0.9836230746819581
1,163,,0.12379872780017254,0.123801746018781,3.406634089696013,2.400733849019417,1.0059002406765956
2,130,,0.12379813631265887,0.12380116245887901,3.3725730059287002,2.3929052099859973,0.9796677959427029
3,69,,0.12379927120159245,0.12380241485559998,3.5629822300754768,2.536064611837901,1.0269176182375759
4,78,,0.12379882645426939,0.12380184589163486,3.268871135119582,2.2881326818490777,0.9807384532705044
5,10,,0.12379849387265539,0.12380164645767122,3.302148309721872,2.366150197345604,0.935998112376268
6,19,,0.12379863481265921,0.12380179600311675,3.1116946308145543,2.2019923080747787,0.9097023227397756
7,4,,0.12379918604161494,0.12380241499871121,3.738652528188993,2.6855873309108063,1.0530651972781868
8,44,,0.12379868610605278,0.12380169404070351,3.6252700823227997,2.5604204823186762,1.0648496000041234
9,208,,0.12379710540914565,0.12379998331977549,3.2751886175919935,2.340279833571458,0.9349087840205357
10,166,,0.12379812677703156,0.12380102909313999,3.228884691351766,2.258619215369663,0.970265475982103
11,233,,0.12379864732935075,0.12380170151317885,3.2499655805486896,2.2914516737880604,0.9585139067606292
12,128,,0.12379649826646917,0.12379926803818142,3.2142894642112196,2.309557031292286,0.9047324329189337
13,155,,0.12379926388883261,0.1238024833431474,3.40583479853467,2.4309725562688698,0.9748622422658002
14,248,,0.12379842497793264,0.12380141728603423,3.293857867452914,2.3055889962116396,0.9882688712412744
15,186,,0.12379720701666778,0.12380005984223344,3.3121424498361307,2.3671502595342417,0.944992190301889
16,161,,0.12379739330407749,0.12380040520942184,3.174805385873242,2.2876071815508396,0.8871982043224023
17,139,,0.12379883466482172,0.12380186485928997,3.364521531912658,2.373586724710549,0.9909348072021089
18,143,,0.12379826590878829,0.12380124901465817,3.3233880824431026,2.340620216280371,0.9827678661627317
19,239,,0.12379776369359606,0.12380072518804587,3.4856999394747845,2.499675884128095,0.9860240553466895
20,71,,0.12379853807254022,0.12380145356504113,3.5202422483520763,2.4706012590744706,1.0496409892776057
21,208,,0.12379742391576012,0.12380040721056133,3.6861648409283703,2.7059439167076675,0.9802209242207027
22,171,,0.12379872719119794,0.12380183543510202,3.293327787722774,2.327382025451328,0.9659457622714456
23,0,,0.12379746331918018,0.12380040249884622,3.117793761626558,2.2099466175757527,0.9078471440508054
24,100,,0.12379823559625482,0.12380123338583988,3.148616880421798,2.2018382627384767,0.9467786176833215
25,219,,0.12379845315804251,0.1238016112731933,3.423498263241413,2.470400855743719,0.9530974074976939
26,141,,0.12379736909618878,0.12380023072572473,3.210471987394328,2.2785371375276213,0.9319348498667068
27,8,,0.12379893617483462,0.12380215117235698,3.6558895937449165,2.664323638079992,0.9915659556649246
28,195,,0.12379804322802569,0.12380108227089358,3.3241434180563374,2.377736159806318,0.9464072582500194
29,186,,0.12379790329543214,0.12380091230182633,3.0835813732113024,2.178266429803358,0.9053149434079444
30,216,,0.12379987342247666,0.12380313824155513,3.483700781933237,2.4651946207705464,1.0185061611626907
31,44,,0.12379921240302415,0.12380241666177294,3.2881278873473434,2.3107197141395943,0.9774081732077491
32,22,,0.12379887633962841,0.12380189753505806,3.2029277767306326,2.2214800356919397,0.9814477410386928
33,220,,0.12379775823882931,0.12380072339112627,3.5974281099056498,2.593998153356182,1.0034299565494678
34,5,,0.12379797836636681,0.12380087661287117,3.3569494709625474,2.3583161023928483,0.9986333685696991
35,138,,0.12379790575806318,0.12380084418399166,3.1144399770396376,2.173198448024891,0.9412415290147464
36,20,,0.12379862344293653,0.12380175231794524,3.0176886438039787,2.102742265881062,0.9149463779229166
37,76,,0.12379888366567429,0.12380201274679646,3.3543000759146366,2.346983985458195,1.0073160904564418
38,123,,0.12379936000006003,0.12380247171660316,3.746239978192534,2.6696475751942614,1.0765924029982727
39,108,,0.12379770755040967,0.12380059951479061,3.3918861176953214,2.418333061762155,0.9735530559331664
40,103,,0.1237977439251077,0.12380071642225031,3.2439116761781293,2.3092194334114993,0.93469224276663
41,7,,0.12379765505745141,0.12380063616872543,3.1497742979197483,2.2428442535935176,0.9069300443262307
42,1,,0.12379728674911837,0.12380013723574179,3.2760804710514435,2.3120841377413797,0.9639963333100638
43,31,,0.12379768063667582,0.12380059377817909,3.1865682940481292,2.2464447650746138,0.9401235289735155
44,2,,0.12379718645522979,0.12380011438888544,3.3051569604747897,2.3909243315045217,0.914232628970268
45,171,,0.12379877735852778,0.123801769246324,3.3873477986505804,2.3556189970621517,1.0317288015884287
46,134,,0.12379738969828777,0.12380033003000498,3.3990202593790855,2.4344387186970664,0.9645815406820191
47,165,,0.12379846230961793,0.12380158395927815,3.2812333393566746,2.304927528466436,0.9763058108902385
48,65,,0.12379836732484438,0.12380140308132705,3.0885085944564707,2.15412049121457,0.9343881032419006
49,157,,0.12379755045813554,0.12380039862582964,3.1425958924317,2.2113411157283167,0.9312547767033834
50,195,,0.12379858699707447,0.12380169791459372,3.29023164351446,2.3160672957974953,0.9741643477169646
51,98,,0.12379841647899899,0.12380149746920785,3.4427313538532758,2.4606897563168673,0.9820415975364085
52,117,,0.1237993422561749,0.12380245534296255,3.445319836327201,2.4114374416777764,1.0338823946494244
53,255,,0.1237983114057559,0.12380125711193715,3.249427735715585,2.281918909910729,0.9675088258048561
54,206,,0.12379771497364878,0.12380062975885187,3.2242493888697368,2.2867658987073867,0.9374834901623501
55,251,,0.12379839218309344,0.12380145148731189,3.1480472669388178,2.216521719452942,0.9315255474858759
56,97,,0.12379771455596848,0.12380070224443324,3.048931796056536,2.1476913437322196,0.9012404523243163
57,175,,0.1238006856758662,0.12380393854236724,4.102417337724546,2.9267059841727985,1.1757113535517476
58,243,,0.12379882871500943,0.12380184277072079,3.3879903085609726,2.3846585778288443,1.0033317307321283
59,166,,0.12379851432873536,0.12380147102251302,3.0879488646746722,2.119531812216053,0.9684170524586193
60,215,,0.1237983062524906,0.12380129175647898,3.405612000710562,2.42282344947958,0.982788551230982
61,176,,0.12379860092758621,0.12380158289914278,3.6410865785663304,2.5755383577183864,1.065548220847944
62,180,,0.12379902550700657,0.12380209055572287,3.434969783592919,2.4134378650117583,1.0215319185811609
63,99,,0.1237984240153344,0.12380141740636671,3.4313100468847324,2.411231174858358,1.0200788720263745
64,224,,0.12379987230069178,0.12380311233584276,3.947697962287009,2.8269731498902217,1.1207248123967872
65,34,,0.12379893982221579,0.12380189367187575,3.285178706419572,2.2597655092821753,1.0254131971373965
66,148,,0.12379867883765683,0.12380163321949691,3.4481138952866104,2.4079279667745084,1.040185928512102
67,184,,0.12379941859665664,0.12380266146343583,3.503737124536599,2.5147404451008697,0.9889966794357292
68,216,,0.12379783456406289,0.12380071292196561,3.1571169862055513,2.205161466379792,0.9519555198257592
69,134,,0.12379774572923583,0.12380066516080929,3.11805847317072,2.178723070861821,0.9393354023088989
70,96,,0.12379888525014889,0.12380190032136713,3.4727564055481253,2.436928629863303,1.0358277756848224
71,79,,0.12379856555887145,0.12380154532487522,3.4556859837387037,2.4452199928850007,1.010465990853703
72,108,,0.12379870696262009,0.12380186957291747,3.002965263324654,2.087011785652294,0.9159534776723603
73,124,,0.12379832249663608,0.12380126846670002,3.261792849071412,2.2762364965792585,0.9855563524921536
74,184,,0.1238001116317286,0.12380339857966507,3.6699428949891058,2.627887173128329,1.0420557218607769
75,227,,0.12379721200142149,0.12380009905043944,3.609575678478677,2.646947622578608,0.9626280559000691
76,18,,0.12379805698872491,0.12380105477660247,3.394457135703078,2.421674111362222,0.9727830243408562
77,239,,0.12379768737494093,0.12380067162603467,3.347110303965394,2.403577088045722,0.9435332159196719
78,136,,0.12379879388520669,0.1238019376655735,3.774625127454499,2.7245027851004124,1.0501223423540864
79,91,,0.12379771276208769,0.12380069245349234,3.2961583295637524,2.364202600026914,0.9319557295368384
80,172,,0.12379860291241375,0.12380172719902922,3.280405173444933,2.32468587371082,0.9557192997341133
