rep,truth_draw,delta_lpd_total,delta_lpd_data,delta_lpd_sel
0,121,3.42013068213231,2.475317350307648,0.9448133318246619
1,131,3.1639849269091087,2.2261840689189114,0.9378008579901973
2,193,3.333820676253765,2.343518277029375,0.9903023992243902
3,243,3.4466756841580946,2.4517371131972254,0.9949385709608691
4,8,3.2544418164765148,2.2940488097015077,0.960393006775007
5,36,3.220338782471117,2.257810325086524,0.9625284573845931
6,210,3.4528574013141906,2.453258214009196,0.9995991873049945
7,242,3.278144192904165,2.2983219666332104,0.9798222262709544
8,63,3.3484924252646806,2.380563176689094,0.9679292485755866
9,79,3.6512820458175383,2.581830502962589,1.0694515428549494
10,222,3.314993849980283,2.361452798507173,0.9535410514731097
11,108,3.2615036534583055,2.283979042653499,0.9775246108048066
12,69,3.4117220908362924,2.44646296482307,0.9652591260132226
13,211,3.160823626654121,2.197341996526859,0.9634816301272622
14,65,3.2863559329913983,2.325573185374054,0.9607827476173441
15,104,2.92908499890342,2.0212056755138974,0.9078793233895226
16,164,3.016431920483683,2.117748927153798,0.898682993329885
17,140,3.163016350692999,2.233290100180085,0.929726250512914
18,21,3.2894505493348447,2.3262551455064795,0.9631954038283652
19,7,3.399081416306501,2.432902808737225,0.966178607569276
20,221,3.152977437254549,2.2224439790503254,0.9305334582042235
21,192,3.4103947389587006,2.402885436139826,1.0075093028188746
22,214,3.2653841752845096,2.3358695746615865,0.9295146006229231
23,137,3.321701976662439,2.3597999536493433,0.9619020230130957
24,209,3.2543185362749227,2.30173859412011,0.9525799421548129
25,84,3.2335927853471276,2.2536758175631633,0.9799169677839643
26,115,3.293344132355628,2.327913638949326,0.965430493406302
27,201,3.017202826020423,2.117774854377103,0.8994279716433198
28,31,3.216237548787433,2.2832630200650783,0.9329745287223545
29,77,3.329147860218484,2.3674151384034303,0.9617327218150535
30,31,3.205208987002379,2.251702266132071,0.9535067208703083
31,116,3.7509977334172504,2.7042865454106106,1.0467111880066398
32,250,3.695225849041094,2.7027913885052612,0.9924344605358328
33,34,3.22630116930992,2.231556768474377,0.9947444008355433
34,98,3.3249672591522312,2.358699938704433,0.9662673204477983
35,103,3.2904570278025744,2.3719241770894826,0.9185328507130919
36,231,3.352318294808242,2.3927047750211727,0.9596135197870694
37,52,3.6230430212480087,2.628272887642055,0.9947701336059538
38,128,3.650104112285419,2.633588514311981,1.016515597973438
39,67,3.6643305844930296,2.65540404837688,1.0089265361161495
40,5,3.12775379626612,2.1953664312945307,0.9323873649715892
41,192,3.097372364964315,2.1800632289827035,0.9173091359816112
42,15,3.479418970488666,2.5210513736173823,0.9583675968712839
43,71,3.148511072641327,2.201664024183799,0.9468470484575278
44,127,3.6496932181326542,2.628373672388676,1.021319545743978
45,124,3.3586646846421218,2.381299526048082,0.9773651585940399
46,29,3.248278603541678,2.2860898330012276,0.9621887705404504
47,251,3.803145610973786,2.778044681268625,1.025100929705161
48,191,3.093277363865411,2.15383865547642,0.939438708388991
49,246,3.1435510308689913,2.191951914450698,0.9515991164182935
50,23,3.419523843018851,2.4019845969704363,1.0175392460484147
51,185,3.0557007086466115,2.1259095592268693,0.9297911494197422
52,75,3.105919355135086,2.16173665015981,0.944182704975276
53,138,3.5088016310832586,2.490506413433934,1.0182952176493245
54,236,3.3047889704777162,2.31722173316291,0.9875672373148063
55,70,3.3941162923296133,2.4229906091049997,0.9711256832246136
56,185,3.0356412358189573,2.0925137218399925,0.9431275139789648
57,41,3.160012617120742,2.207789719517166,0.9522228976035763
58,82,3.794116933472651,2.6821055141516297,1.1120114193210213
59,248,3.3819879872126535,2.426277865718788,0.9557101214938655
60,107,3.30846063388816,2.355267816871219,0.9531928170169408
61,132,3.160600743036923,2.210017985723681,0.9505827573132422
62,74,2.957445123495404,2.043721370490573,0.913723753004831
63,29,3.0538577127175017,2.11176416317943,0.9420935495380718
64,108,3.227463236611527,2.271200861043951,0.9562623755675759
65,159,3.02215706063555,2.103056230106745,0.9191008305288051
66,116,3.468748125852244,2.404719834360691,1.064028291491553
67,198,3.405422065176026,2.3809666732567223,1.0244553919193038
68,92,3.2680728737033746,2.366942472557241,0.9011304011461334
69,156,3.254135327335746,2.268721574567593,0.985413752768153
70,197,3.198035731078619,2.255282426485337,0.9427533045932819
71,234,3.1354512983551786,2.220611504915354,0.9148397934398247
72,109,3.4304609136283375,2.460166973306883,0.9702939403214543
73,10,3.0252900267553287,2.084684810950563,0.9406052158047657
74,183,3.2263551065274783,2.300156999719377,0.9261981068081013
75,135,3.404937401534312,2.444828150489002,0.96010925104531
76,223,3.3881478032709538,2.439406937657253,0.9487408656137006
77,117,3.261444020585259,2.322748990667037,0.9386950299182217
