alpha,delta_lpd_total_mean,delta_lpd_total_p50,p_ge_observed
0.0,3.3142565167553717,3.3000151320352415,0.0234375
0.25,3.353157239928033,3.325420634669541,0.05859375
0.5,3.397570938799198,3.3673034165114757,0.09765625
0.75,3.4477644258502558,3.411385350251834,0.16015625
1.0,3.5039855211955313,3.441980675933081,0.21875
