beta_ia,beta_cc,delta_h0_ladder,beta_bao,logZ,posterior_weight,relief_mean,relief_sd,mean_abs_delta_sn,mean_abs_delta_cc,mean_abs_delta_bao,mean_abs_delta_local
-0.0711912518,0.0141867195,-0.591389489,0.011664774,16.1144276,0.00392686639,0.826915395,0.108779142,2.33205199,0.0460246524,0.440619743,0.459958791
0.0631864229,-0.0206744607,-1.64543721,0.0242203585,12.263378,8.34750173e-05,0.776063261,0.125072175,0.811571011,0.0844428392,0.549421431,1.07906984
-0.0435330869,0.105065055,-0.0628485712,-0.000852506466,16.2026116,0.00428888061,0.842627894,0.117019914,1.36810193,0.472518834,0.0221447441,0.0540912702
-0.0129586617,-0.37653541,-0.491370554,0.0187428448,14.6380515,0.000897148029,0.874845409,0.100859246,0.156101152,0.564843177,0.464242618,0.309007855
-0.00376716535,-0.0691356016,0.0164283697,-0.0377437998,15.5187754,0.00216450018,0.873796073,0.121138023,0.0563863915,0.186298664,0.640795099,0.011670145
-0.0370442326,-0.0582618397,-0.577810488,-0.00535240009,16.5073198,0.00581670493,0.837659429,0.0991636996,1.03331147,0.192131953,0.15160948,0.426781509
-0.0683896351,-0.226127668,0.0967324037,-0.0308829691,15.9937296,0.00348038771,0.877434056,0.107443335,1.03175154,0.416889632,0.600282069,0.0682611427
0.0324446401,-0.0345449351,-1.00689997,-0.0144652554,14.6376812,0.000896815928,0.812495332,0.105943222,0.640752817,0.159081184,0.301188838,0.701644302
0.0180529057,-0.210708467,1.58123996,0.0363085406,14.6279763,0.000888154485,0.856870781,0.0978489554,0.13999631,0.213761013,0.925043704,1.96845302
-0.0976431532,-0.132910628,-0.210032891,0.0499616565,13.7975724,0.000387122744,0.873990532,0.108180704,0.953686074,0.197634697,1.34942478,0.140628299
0.117370483,-0.0579363996,0.535753632,0.00212650282,13.8731591,0.000417518332,0.84263122,0.129220036,0.924699199,0.0922961669,0.034626077,0.550520465
0.0484248453,-0.0506343532,0.783721739,-0.0121906006,15.437707,0.00199595189,0.83537685,0.112940421,0.673522031,0.104198096,0.23244361,0.824736691
-0.037969359,-0.114756632,-0.135213682,0.0245185292,15.3549846,0.00183748672,0.86305305,0.112962132,0.747047502,0.222338287,0.958372762,0.100205968
0.0451099137,0.220694924,0.474525145,0.0148735189,13.90135,0.000429456063,0.811575524,0.136556362,0.458847422,0.637219928,0.281694818,0.573935074
-0.0233476587,0.0402330173,-0.229899558,0.0586728871,12.9299941,0.000162578919,0.857684899,0.121686086,0.175016952,0.0830249432,1.25998747,0.169691266
-0.00303447594,0.0644702848,-0.431107188,0.0200183399,14.5091319,0.000788633165,0.832601265,0.12501096,0.0589757383,0.261009363,0.664886218,0.342621971
0.0394422172,0.0466185516,-0.206067288,-0.0691871558,13.4416016,0.000271176785,0.828649276,0.129621904,0.190090363,0.113493107,0.65839278,0.179035611
-0.0628334067,-0.133613047,0.510977531,0.0028869543,16.9658737,0.00920077587,0.881118824,0.0944741228,1.68533353,0.274569275,0.0825089573,0.376247012
0.0287928757,-0.176643803,-1.25640743,-0.00859724221,14.7735862,0.00102736816,0.817765431,0.107515514,0.560590505,0.515223091,0.17743828,0.828265328
0.0699489497,0.167927938,-0.892964218,-0.0230315041,12.8447873,0.000149299857,0.780977966,0.125289061,0.678153094,0.679582836,0.310978703,0.774131987
0.066114903,-0.0706155794,-0.788805633,0.00516447263,13.8706429,0.000416469118,0.838090444,0.119802363,0.905874057,0.252880222,0.115208132,0.547774475
-0.0149849258,-0.354227495,-0.550076774,0.00282146122,15.2454552,0.00164685822,0.869663478,0.0973481831,0.217976943,0.607310877,0.0644486111,0.351364187
0.0451459671,-0.439757421,1.18408576,-0.00951460286,14.8306595,0.00108770899,0.84885355,0.0933252096,0.296378969,0.62675025,0.153628844,1.17459907
-0.0810791367,0.0443520368,-0.0116418144,0.0462853384,13.9110397,0.000433637565,0.857604481,0.117567387,0.980672595,0.0968476736,1.40834937,0.00925013655
-0.00790946303,-0.147415441,-0.287779514,0.0123065173,15.6106947,0.00237289043,0.869744812,0.109736621,0.155580227,0.323645556,0.439953065,0.191580996
0.0224741966,-0.0135167707,0.165390777,0.0132613642,15.0416272,0.00134318191,0.85125622,0.123673588,0.400988621,0.0397436187,0.406494937,0.143588329
-0.0671800536,-0.109450832,1.08711301,0.00585225164,17.0486077,0.00999436873,0.880584278,0.0917647414,1.76843318,0.217726927,0.179803287,0.898219729
-0.00408437953,-0.0814829262,-0.732118145,0.0376556495,13.7441539,0.000366985839,0.843611255,0.114474582,0.0538895302,0.218332188,1.12503811,0.502225942
0.0862369966,-0.034547524,1.05072139,-0.0322961341,14.8306393,0.00108768695,0.825754516,0.0980852435,0.691805269,0.0518262505,0.4918018,1.29962482
0.130907971,-0.249481473,-2.31994172,0.0373610554,9.92551938,8.05818847e-06,0.691966268,0.1354555,1.48225175,0.485887693,0.619533084,1.77675562
0.0388680672,-0.00375248386,-0.868454175,-0.00601895398,14.4418426,0.000737312622,0.822916209,0.113335824,0.733053436,0.0176942343,0.131236219,0.609604211
0.0414316598,0.197224717,1.50718339,0.0456978895,13.7622678,0.000373693986,0.833978852,0.102519903,0.244464443,0.299024424,0.955668762,2.16162464
-0.0479494157,0.139134855,1.58966321,0.043754247,14.5583901,0.000828452492,0.856541275,0.107639276,0.524359554,0.216195847,1.34584113,2.10552578
-0.0604694143,-0.347924926,0.222504972,0.0160464141,15.2736366,0.00169392908,0.875217911,0.101922176,0.781898105,0.735918742,0.422982883,0.158280833
-0.0706146007,-0.268327217,-0.397320193,-0.0125055655,16.1411762,0.00403332192,0.858329673,0.0986543951,1.26594694,0.611173335,0.25239306,0.283272992
0.0270773415,-0.266565277,0.860637981,0.00955558905,15.2463648,0.00164835685,0.846105321,0.101534125,0.318346544,0.386184153,0.236085349,0.819602504
0.0375969698,-0.0496137635,-0.378848699,0.0117356273,14.5483305,0.000820160349,0.85343597,0.120209704,0.621713025,0.167152353,0.339122391,0.270186315
-0.032938016,0.170966959,1.58935447,-0.0426430023,15.7487524,0.00272417742,0.844676519,0.115214149,0.42781541,0.370674249,0.724187308,2.30640075
-0.0614337493,0.064596868,1.22437871,-0.00861710458,17.3499702,0.0135093812,0.870418732,0.10289426,1.8550457,0.138616205,0.225207388,1.2423758
0.0128778884,-0.350728567,0.809665645,-0.019837389,15.4689786,0.00205935468,0.857356326,0.096890229,0.126721371,0.553990834,0.349527057,0.669947104
0.0156451459,0.0109771068,-0.80903401,0.042250482,12.9881689,0.000172317424,0.828610939,0.119137606,0.169039214,0.0320232771,1.00525385,0.572822387
-0.00654058451,0.161482318,1.01707139,0.0520939664,13.5899997,0.000314558209,0.830957526,0.110545503,0.0461030756,0.270504121,1.20644632,1.2498047
0.063499156,-0.0898027956,-0.209006141,-0.0206503215,14.6356425,0.000894989399,0.857775941,0.120312204,0.806482363,0.255034473,0.371298905,0.152201293
-0.00464812289,0.380835938,-0.191968418,-0.0146768566,13.3063398,0.000236869474,0.796907411,0.143617421,0.0523469395,1.61795875,0.181920299,0.203770522
-0.00330754445,-0.130293661,-0.379999481,-0.0384139365,15.2979445,0.00173560953,0.858865346,0.106178463,0.046293569,0.313882188,0.662951581,0.249070712
-0.0554107234,0.234496462,-0.0739008655,0.00893970789,14.9935697,0.00128015841,0.819376597,0.125953002,1.4106007,1.25643387,0.248161038,0.0728261495
0.00679784253,0.470245375,0.548403263,0.0253933182,12.9347307,0.000163350811,0.821781035,0.136553092,0.0409562298,1.19421941,0.325007295,0.63381754
0.0673538882,-0.255284719,0.898237993,0.0548062722,13.2629702,0.00022681611,0.855761236,0.108466427,0.317857511,0.220472174,0.968712931,0.879553775
0.00305720105,-0.0647373242,0.900965051,-0.0373771594,15.8422933,0.00299129812,0.842409871,0.101095221,0.0417031504,0.117781857,0.624267453,0.916739126
0.00354573001,0.114939241,3.46197581,0.0289303516,15.697362,0.00258771727,0.878796683,0.0887597492,0.0370433949,0.130474425,0.985176683,6.24561753
0.0216827269,0.642283529,-0.289496833,-0.00336613039,11.8588734,5.57034877e-05,0.822958172,0.121544383,0.0696848753,1.20493221,0.0177457374,0.253611328
0.013874183,-0.357693109,1.22068709,-0.0204719774,15.478255,0.00207854705,0.845316775,0.0886842756,0.1222771,0.596895833,0.346669547,1.21809043
0.0265126193,0.113210045,-0.607474464,-0.00934803193,14.3310657,0.000659996859,0.81826576,0.123711761,0.482785198,0.598393454,0.187631983,0.481225115
0.0268360485,0.0569592695,-0.13559357,-0.0218130306,14.9843616,0.00126842468,0.851045794,0.129390232,0.458220418,0.24607388,0.428842032,0.106616744
0.0309175007,-0.0844752251,-1.10708975,0.0143848638,14.1315016,0.000540595356,0.824969145,0.110009224,0.54238177,0.325510348,0.43147486,0.724385432
-0.0397508728,-0.166970488,1.27836485,0.00100848155,16.7895625,0.00771353565,0.865503433,0.0928886317,0.853650331,0.336821713,0.0263983717,1.14936553
0.0150015473,-0.105183237,0.325301029,0.0364896451,14.2139426,0.000587051161,0.847230894,0.117631476,0.168349614,0.163673353,1.0207823,0.296888106
