delta_lpd_total,delta_lpd_data
3.6453377934943774,2.6494286748792035
3.6453341120837877,2.6494247237813227
3.6453662485938025,2.6494507536221192
3.645359006212402,2.6494428257073537
3.6453392614981794,2.6494258914765396
3.6453689433182603,2.6494578284843726
3.6453554456423944,2.6494460192085114
3.6453616976119747,2.6494512649470323
3.6453731864235124,2.6494633843994393
3.645358693266303,2.649447740602824
3.645336185419069,2.649424340295809
3.6453297569074152,2.6494225215487575
3.6453349810619216,2.6494271881010434
3.6453541488515384,2.6494445590337534
3.6453474977392943,2.6494381703532497
3.6453366773758376,2.649426443314553
3.6453417371449746,2.6494340850785534
3.6453634210058112,2.6494579678584103
3.6453597584488193,2.6494477706118005
3.6453496900971913,2.649440247546437
3.6453550802700647,2.6494422688892314
3.6453603121412357,2.6494498400853956
3.6453472664656488,2.649437017865779
3.645360214343384,2.649450928407987
3.645365696267163,2.649455476907093
3.645342668600847,2.6494295957704708
3.6453452946719835,2.6494365678454415
3.645351919018026,2.649436753767702
3.645358673629403,2.6494484927207793
3.6453594269344762,2.649443955312506
3.645355780283637,2.649444604767126
3.6453740937441808,2.6494635317690154
3.6453589093243295,2.649446851034668
3.645382415410211,2.6494690357670834
3.645343996606357,2.649430590424089
3.64536562437695,2.649456678657913
3.645358252716562,2.6494501447899097
3.6453616498004067,2.6494544229995824
3.6453575188713785,2.6494454112097685
3.645344587160025,2.6494340866108814
3.645346557983089,2.6494384457830336
3.6453720455340317,2.6494575327823497
3.6453400597351333,2.6494297324231013
3.645368902157884,2.649455061945588
3.64535179875719,2.649442185959799
3.645344143210707,2.649438215832049
3.6453260762345394,2.6494136914559476
3.645360227956644,2.6494475782195366
3.645352509040208,2.649443612008639
3.6453454518198214,2.6494362525403403
3.645357219457537,2.649445910266735
3.6453557375546097,2.649447315198614
3.6453456641703497,2.649436281238451
3.6453586724028355,2.649442184874516
3.6453497940553348,2.649439073778211
3.6453480961925493,2.649436471051672
3.6453537975343693,2.6494467301091333
3.6453530697288556,2.649437175464925
3.645361902769139,2.6494494989137536
3.645373914695881,2.6494591238450766
3.6453545874789484,2.6494418747240616
3.6453685948068255,2.649454399801783
3.64536344759415,2.6494493676128457
3.645351577921076,2.649442927364902
3.645359902945586,2.64945022308774
3.645347485376476,2.6494354615680322
3.645375099598027,2.6494610585505427
3.64534500652411,2.6494322064413325
3.645343670808529,2.6494334587841877
3.6453622115068356,2.649448115215563
3.6453658148001864,2.6494538378133825
3.6453544170069563,2.6494442171080834
3.6453717685218407,2.649461833322448
3.645358177092703,2.649443513867169
3.645341436493595,2.6494307246477717
3.6453681492060355,2.6494585372137465
3.6453607061046682,2.649448745339555
3.645362317039428,2.6494486420009764
3.6453519363338955,2.649437975480339
3.645356999454748,2.649446014492156
3.64537263773002,2.6494595339904947
3.645366007667633,2.649453251888616
3.6453393633559017,2.6494267340508486
3.645362694134235,2.649450480733833
3.645360559827509,2.6494508102405803
3.6453601336874044,2.6494515756951387
3.6453143139468125,2.649403392410818
3.64535983370547,2.6494478499746776
3.645358856222572,2.6494459560677512
3.6453457580723807,2.649437870387402
3.6453567788624923,2.649445391813572
3.6453494230530623,2.6494397476467384
3.645352994798884,2.6494445898572963
3.645356038321097,2.6494450329614665
3.645361752734061,2.649456734630178
3.645333251854538,2.6494230089564326
3.6453631781265017,2.649448315293796
3.6453584256051386,2.649447793918881
3.645350545404426,2.6494338474190897
3.645347681256112,2.6494393288568006
3.6453458266983034,2.6494323391908665
3.6453514933617726,2.6494422211634685
3.6453576686006954,2.649445585971762
3.6453502130404445,2.649440289227499
3.645361398604109,2.6494513050735407
3.645329667635849,2.6494203757544312
3.6453577871905054,2.649440645683626
3.645365355685385,2.6494518578423936
3.6453650284266814,2.649448910557169
3.6453387368529775,2.649431937867149
3.64533824595793,2.6494326268682187
3.645351231330608,2.649447180470787
3.645351947109532,2.649437521691084
3.645354884944595,2.6494467038939433
3.6453728464807114,2.649461537681276
3.6453740563676433,2.6494613921576047
3.64535686699827,2.649444777801108
3.645357650595372,2.649440075899548
3.645361053606564,2.6494534036237383
3.6453567109513187,2.6494492272667003
3.6453683947567583,2.649453087107503
3.645367752551749,2.649459701765693
3.645362223748748,2.6494503160132012
3.645342738253646,2.6494386899474307
3.6453530710024893,2.649444915665981
3.6453605394970054,2.6494480840117944
3.6453543932030925,2.649443315376118
3.6453506181664466,2.6494445319548845
3.645334425133626,2.6494213631678747
3.645343908027826,2.6494351685454376
3.6453516333081666,2.649442709422914
3.645339994007486,2.6494269589462647
3.6453614882292413,2.6494479680867187
3.645346270487039,2.6494334758300795
3.6453465309064086,2.649437975396552
3.6453511524140367,2.649439642936585
3.645339825389442,2.649427810099297
3.6453544619491254,2.6494397370038314
3.645358639198207,2.649445862517581
3.645346313796665,2.649435972000532
3.645340123438416,2.6494315734821328
