c_amp,c_tilt,delta_lpd_total
-0.2,-0.2,3.6707048697554683
-0.2,0.0,3.6343366715857996
-0.2,0.2,3.608946994086409
0.0,-0.2,3.6707157201718132
0.0,0.0,3.634345260331145
0.0,0.2,3.6089540974417105
0.2,-0.2,3.67072295383781
0.2,0.0,3.6343509861941925
0.2,0.2,3.608958833033455
