mode,delta_lpd_total
permute_catalog_terms_across_events,3.6393166924581237
permute_catalog_terms_across_events,3.640765121546508
permute_catalog_terms_across_events,3.6418552868453276
permute_catalog_terms_across_events,3.6633238374668053
permute_catalog_terms_across_events,3.660780623449739
permute_catalog_terms_across_events,3.6590007427569162
permute_catalog_terms_across_events,3.6422498997582125
permute_catalog_terms_across_events,3.6646341408385865
permute_catalog_terms_across_events,3.6347318772138806
permute_catalog_terms_across_events,3.655111131389617
permute_catalog_terms_across_events,3.639609526136553
permute_catalog_terms_across_events,3.6677332611478732
permute_catalog_terms_across_events,3.636045034716858
permute_catalog_terms_across_events,3.647971317739973
permute_catalog_terms_across_events,3.634858911828985
permute_catalog_terms_across_events,3.632901495697922
permute_catalog_terms_across_events,3.646138503213365
permute_catalog_terms_across_events,3.6314742910991527
permute_catalog_terms_across_events,3.6677348886510117
permute_catalog_terms_across_events,3.651026421195297
permute_catalog_terms_across_events,3.6229802836037948
permute_catalog_terms_across_events,3.6658809597473123
permute_catalog_terms_across_events,3.6362454483436295
permute_catalog_terms_across_events,3.631756580488684
permute_catalog_terms_across_events,3.6590132779357987
permute_catalog_terms_across_events,3.6370555984198063
permute_catalog_terms_across_events,3.657675824211367
permute_catalog_terms_across_events,3.660136667284519
permute_catalog_terms_across_events,3.622578042660905
permute_catalog_terms_across_events,3.66360219560255
permute_catalog_terms_across_events,3.659433086434831
permute_catalog_terms_across_events,3.642660405626998
permute_catalog_terms_across_events,3.6331551059246294
permute_catalog_terms_across_events,3.6336546173739634
permute_catalog_terms_across_events,3.661391434283246
permute_catalog_terms_across_events,3.6290138445711477
permute_catalog_terms_across_events,3.629638613724694
permute_catalog_terms_across_events,3.6624235317239027
permute_catalog_terms_across_events,3.6241899760195224
permute_catalog_terms_across_events,3.6589133605465918
permute_catalog_terms_across_events,3.659151132128841
permute_catalog_terms_across_events,3.63833580337473
permute_catalog_terms_across_events,3.654239033805368
permute_catalog_terms_across_events,3.617804286386047
permute_catalog_terms_across_events,3.6623390082787637
permute_catalog_terms_across_events,3.6391469591503665
permute_catalog_terms_across_events,3.6587316263265848
permute_catalog_terms_across_events,3.632907817440582
permute_catalog_terms_across_events,3.6305325157396737
permute_catalog_terms_across_events,3.662467503083519
permute_catalog_terms_across_events,3.620948346928344
permute_catalog_terms_across_events,3.6673420667576693
permute_catalog_terms_across_events,3.640376325830289
permute_catalog_terms_across_events,3.6592794159383857
permute_catalog_terms_across_events,3.6267811120401916
permute_catalog_terms_across_events,3.6358089331160954
permute_catalog_terms_across_events,3.658012410803167
permute_catalog_terms_across_events,3.6665884031807536
permute_catalog_terms_across_events,3.668563979193493
